Date,Price
01.01.2021,"90,7932"
12.01.2021,"90,8123"
13.01.2021,"90,3227"
14.01.2021,"89,7831"
15.01.2021,"89,6475"
16.01.2021,"89,2546"
19.01.2021,"89,3304"
20.01.2021,"89,2064"
21.01.2021,"89,1483"
22.01.2021,"88,9677"
23.01.2021,"90,4087"
26.01.2021,"91,1458"
27.01.2021,"91,6701"
28.01.2021,"91,2186"
29.01.2021,"92,1310"
30.01.2021,"92,2963"
02.02.2021,"91,5426"
03.02.2021,"91,6250"
04.02.2021,"91,5624"
05.02.2021,"90,9206"
06.02.2021,"89,8850"
09.02.2021,"89,4019"
10.02.2021,"89,5286"
11.02.2021,"89,5684"
12.02.2021,"89,4388"
13.02.2021,"89,6052"
16.02.2021,"88,9754"
17.02.2021,"88,9441"
18.02.2021,"89,0809"
19.02.2021,"88,8700"
20.02.2021,"89,5427"
21.02.2021,"89,6604"
25.02.2021,"89,6691"
26.02.2021,"89,4995"
27.02.2021,"90,3743"
02.03.2021,"89,4461"
03.03.2021,"89,5652"
04.03.2021,"88,8768"
05.03.2021,"88,9421"
06.03.2021,"88,9334"
10.03.2021,"88,1736"
11.03.2021,"87,9587"
12.03.2021,"87,7585"
13.03.2021,"87,7981"
16.03.2021,"87,3508"
17.03.2021,"86,9852"
18.03.2021,"86,9693"
19.03.2021,"88,1173"
20.03.2021,"88,4330"
23.03.2021,"88,6573"
24.03.2021,"89,7670"
25.03.2021,"90,0515"
26.03.2021,"89,9768"
27.03.2021,"89,2576"
30.03.2021,"89,3490"
31.03.2021,"88,8821"
01.04.2021,"88,7452"
02.04.2021,"88,9523"
03.04.2021,"89,5916"
06.04.2021,"89,9958"
07.04.2021,"90,1821"
08.04.2021,"92,3321"
09.04.2021,"91,6192"
10.04.2021,"91,7809"
13.04.2021,"92,0669"
14.04.2021,"91,9162"
15.04.2021,"90,5391"
16.04.2021,"92,2307"
17.04.2021,"90,4602"
20.04.2021,"91,4760"
21.04.2021,"91,7507"
22.04.2021,"92,2913"
23.04.2021,"92,0423"
24.04.2021,"90,4676"
27.04.2021,"90,4468"
28.04.2021,"90,4666"
29.04.2021,"90,4289"
30.04.2021,"90,1513"
01.05.2021,"90,5850"
05.05.2021,"90,4510"
06.05.2021,"89,7742"
07.05.2021,"89,6788"
08.05.2021,"89,5060"
12.05.2021,"90,0040"
13.05.2021,"89,8475"
14.05.2021,"89,9343"
15.05.2021,"89,6249"
18.05.2021,"89,6584"
19.05.2021,"89,9057"
20.05.2021,"90,1006"
21.05.2021,"89,7708"
22.05.2021,"89,9446"
25.05.2021,"89,6877"
26.05.2021,"89,9545"
27.05.2021,"89,9392"
28.05.2021,"89,6555"
29.05.2021,"89,6731"
01.06.2021,"89,3778"
02.06.2021,"89,5958"
03.06.2021,"89,6895"
04.06.2021,"89,2644"
05.06.2021,"88,7545"
08.06.2021,"88,6530"
09.06.2021,"88,6433"
10.06.2021,"87,8114"
11.06.2021,"87,8065"
12.06.2021,"87,3274"
16.06.2021,"87,2110"
17.06.2021,"87,3536"
18.06.2021,"86,7012"
19.06.2021,"85,9943"
22.06.2021,"86,8942"
23.06.2021,"87,0677"
24.06.2021,"86,7137"
25.06.2021,"86,3283"
26.06.2021,"86,1919"
29.06.2021,"86,1657"
30.06.2021,"86,2026"
01.07.2021,"86,5118"
02.07.2021,"86,4113"
03.07.2021,"87,0748"
06.07.2021,"87,0272"
07.07.2021,"87,0034"
08.07.2021,"87,5588"
09.07.2021,"88,7755"
10.07.2021,"88,1397"
13.07.2021,"88,6050"
14.07.2021,"87,7820"
15.07.2021,"87,3917"
16.07.2021,"87,8316"
17.07.2021,"87,5673"
20.07.2021,"87,6097"
21.07.2021,"87,7727"
22.07.2021,"87,5983"
23.07.2021,"86,9227"
24.07.2021,"86,8451"
27.07.2021,"87,3171"
28.07.2021,"86,9919"
29.07.2021,"86,9173"
30.07.2021,"86,8624"
31.07.2021,"86,9913"
03.08.2021,"86,7717"
04.08.2021,"86,5578"
05.08.2021,"86,4112"
06.08.2021,"86,6529"
07.08.2021,"86,4621"
10.08.2021,"86,4378"
11.08.2021,"86,3578"
12.08.2021,"86,6257"
13.08.2021,"86,3457"
14.08.2021,"86,2195"
17.08.2021,"86,5072"
18.08.2021,"86,4804"
19.08.2021,"86,1210"
20.08.2021,"86,6150"
21.08.2021,"86,8646"
24.08.2021,"86,7838"
25.08.2021,"86,8058"
26.08.2021,"86,5814"
27.08.2021,"87,0576"
28.08.2021,"87,0304"
31.08.2021,"86,8104"
01.09.2021,"86,6660"
02.09.2021,"86,3949"
03.09.2021,"86,2970"
04.09.2021,"86,5366"
07.09.2021,"86,5743"
08.09.2021,"86,8922"
09.09.2021,"86,9114"
10.09.2021,"86,4677"
11.09.2021,"86,1478"
14.09.2021,"86,1150"
15.09.2021,"85,9880"
16.09.2021,"86,0674"
17.09.2021,"85,3622"
18.09.2021,"85,4614"
21.09.2021,"85,8785"
22.09.2021,"85,8568"
23.09.2021,"85,4889"
24.09.2021,"85,2040"
25.09.2021,"85,6823"
28.09.2021,"85,0355"
29.09.2021,"84,6752"
30.09.2021,"84,8755"
01.10.2021,"84,3050"
02.10.2021,"84,4577"
05.10.2021,"84,6355"
06.10.2021,"84,1723"
07.10.2021,"83,9251"
08.10.2021,"83,6053"
09.10.2021,"83,1248"
12.10.2021,"82,9273"
13.10.2021,"83,0934"
14.10.2021,"83,0028"
15.10.2021,"83,3347"
16.10.2021,"82,7276"
19.10.2021,"82,4592"
20.10.2021,"82,6841"
21.10.2021,"82,6162"
22.10.2021,"82,6399"
23.10.2021,"82,4979"
26.10.2021,"81,7418"
27.10.2021,"80,7019"
28.10.2021,"81,0289"
