Date,Price
01.01.2021,"71,6058"
12.01.2021,"71,5706"
13.01.2021,"71,2694"
14.01.2021,"70,8791"
15.01.2021,"70,9339"
16.01.2021,"70,9246"
19.01.2021,"71,2860"
20.01.2021,"70,8922"
21.01.2021,"70,7002"
22.01.2021,"70,8643"
23.01.2021,"71,7602"
26.01.2021,"72,1617"
27.01.2021,"72,8805"
28.01.2021,"72,3591"
29.01.2021,"73,0375"
30.01.2021,"72,8784"
02.02.2021,"72,0711"
03.02.2021,"72,3216"
04.02.2021,"72,4434"
05.02.2021,"71,9826"
06.02.2021,"71,2287"
09.02.2021,"70,3388"
10.02.2021,"70,6772"
11.02.2021,"70,6284"
12.02.2021,"70,4772"
13.02.2021,"70,4337"
16.02.2021,"69,6756"
17.02.2021,"69,4687"
18.02.2021,"69,5980"
19.02.2021,"69,7674"
20.02.2021,"70,0987"
21.02.2021,"70,1629"
25.02.2021,"69,8520"
26.02.2021,"69,2537"
27.02.2021,"70,2040"
02.03.2021,"69,4702"
03.03.2021,"69,7913"
04.03.2021,"68,7798"
05.03.2021,"68,8049"
06.03.2021,"68,6822"
10.03.2021,"68,2166"
11.03.2021,"68,0477"
12.03.2021,"67,7260"
13.03.2021,"67,3552"
16.03.2021,"67,1050"
17.03.2021,"66,7996"
18.03.2021,"66,9738"
19.03.2021,"67,4835"
20.03.2021,"68,2208"
23.03.2021,"68,6402"
24.03.2021,"69,2856"
25.03.2021,"70,0874"
26.03.2021,"69,8236"
27.03.2021,"69,2324"
30.03.2021,"69,1584"
31.03.2021,"68,6362"
01.04.2021,"68,3665"
02.04.2021,"68,4521"
03.04.2021,"68,8291"
06.04.2021,"69,2821"
07.04.2021,"69,2132"
08.04.2021,"70,7638"
09.04.2021,"70,4345"
10.04.2021,"70,4324"
13.04.2021,"70,8375"
14.04.2021,"70,6382"
15.04.2021,"69,4431"
16.04.2021,"70,7122"
17.04.2021,"69,4202"
20.04.2021,"70,5324"
21.04.2021,"70,1024"
22.04.2021,"70,9947"
23.04.2021,"70,7641"
24.04.2021,"69,5883"
27.04.2021,"69,4321"
28.04.2021,"69,1780"
29.04.2021,"68,8240"
30.04.2021,"68,2939"
01.05.2021,"68,7630"
05.05.2021,"68,8250"
06.05.2021,"68,4763"
07.05.2021,"68,2284"
08.05.2021,"67,9255"
12.05.2021,"68,0805"
13.05.2021,"68,0765"
14.05.2021,"67,8250"
15.05.2021,"67,7223"
18.05.2021,"67,5728"
19.05.2021,"67,6791"
20.05.2021,"67,5478"
21.05.2021,"67,5546"
22.05.2021,"67,7192"
25.05.2021,"67,5920"
26.05.2021,"67,4877"
27.05.2021,"67,5031"
28.05.2021,"67,3525"
29.05.2021,"66,9917"
01.06.2021,"66,8063"
02.06.2021,"66,8167"
03.06.2021,"66,9410"
04.06.2021,"66,7276"
05.06.2021,"66,4871"
08.06.2021,"66,6235"
09.06.2021,"66,4983"
10.06.2021,"65,8622"
11.06.2021,"65,9277"
12.06.2021,"65,4221"
16.06.2021,"65,2631"
17.06.2021,"65,5286"
18.06.2021,"65,5500"
19.06.2021,"65,6292"
22.06.2021,"66,5352"
23.06.2021,"66,2346"
24.06.2021,"65,5367"
25.06.2021,"65,2438"
26.06.2021,"65,1701"
29.06.2021,"65,1982"
30.06.2021,"65,3534"
01.07.2021,"65,8309"
02.07.2021,"65,4740"
03.07.2021,"66,0632"
06.07.2021,"66,1473"
07.07.2021,"66,1275"
08.07.2021,"66,9028"
09.07.2021,"68,4620"
10.07.2021,"67,6639"
13.07.2021,"67,8087"
14.07.2021,"67,0854"
15.07.2021,"67,0832"
16.07.2021,"67,6169"
17.07.2021,"67,3498"
20.07.2021,"67,7137"
21.07.2021,"67,9105"
22.07.2021,"67,6210"
23.07.2021,"66,7976"
24.07.2021,"66,7901"
27.07.2021,"67,2335"
28.07.2021,"67,0819"
29.07.2021,"66,9414"
30.07.2021,"66,6670"
31.07.2021,"66,7873"
03.08.2021,"66,5684"
04.08.2021,"66,7299"
05.08.2021,"66,6536"
06.08.2021,"66,7500"
07.08.2021,"66,6397"
10.08.2021,"66,7070"
11.08.2021,"66,6119"
12.08.2021,"66,7685"
13.08.2021,"66,6429"
14.08.2021,"66,6383"
17.08.2021,"67,1135"
18.08.2021,"67,2143"
19.08.2021,"67,0194"
20.08.2021,"67,6276"
21.08.2021,"67,8225"
24.08.2021,"67,3578"
25.08.2021,"67,3864"
26.08.2021,"67,1610"
27.08.2021,"67,1575"
28.08.2021,"67,1720"
31.08.2021,"66,9924"
01.09.2021,"66,7044"
02.09.2021,"66,3294"
03.09.2021,"66,2174"
04.09.2021,"66,2464"
07.09.2021,"66,3910"
08.09.2021,"66,5493"
09.09.2021,"66,6595"
10.09.2021,"66,5263"
11.09.2021,"66,2237"
14.09.2021,"66,3587"
15.09.2021,"66,0914"
16.09.2021,"66,5710"
17.09.2021,"66,2244"
18.09.2021,"66,0148"
21.09.2021,"66,8625"
22.09.2021,"66,7579"
23.09.2021,"66,5485"
24.09.2021,"66,1583"
25.09.2021,"66,1515"
28.09.2021,"65,5344"
29.09.2021,"65,1614"
30.09.2021,"65,4177"
01.10.2021,"64,9483"
02.10.2021,"65,6093"
05.10.2021,"65,5908"
06.10.2021,"65,2977"
07.10.2021,"65,0340"
08.10.2021,"64,9260"
09.10.2021,"64,2981"
12.10.2021,"63,4604"
13.10.2021,"63,4367"
14.10.2021,"63,2968"
15.10.2021,"63,3189"
16.10.2021,"62,4148"
19.10.2021,"62,2264"
20.10.2021,"62,2494"
21.10.2021,"62,1196"
22.10.2021,"62,2477"
23.10.2021,"62,1954"
26.10.2021,"61,7408"
27.10.2021,"61,0057"
28.10.2021,"61,3745"
29.10.2021,"62,0808"
30.10.2021,"62,0283"
02.11.2021,"62,1329"
03.11.2021,"62,9017"
04.11.2021,"62,7828"
09.11.2021,"62,8859"
10.11.2021,"63,0994"
11.11.2021,"62,5039"
12.11.2021,"62,4065"
13.11.2021,"62,9624"
16.11.2021,"63,4553"
17.11.2021,"63,5141"
18.11.2021,"63,4041"
19.11.2021,"63,6275"
20.11.2021,"63,5695"
23.11.2021,"64,3570"
24.11.2021,"65,2734"
25.11.2021,"64,7140"
26.11.2021,"64,6871"
27.11.2021,"66,3978"
30.11.2021,"66,1594"
01.12.2021,"66,1976"
02.12.2021,"65,2017"
03.12.2021,"65,3897"
04.12.2021,"64,9915"
07.12.2021,"65,1106"
08.12.2021,"65,2267"
09.12.2021,"65,0362"
10.12.2021,"64,8656"
11.12.2021,"64,7882"
14.12.2021,"64,6079"
15.12.2021,"64,6258"
16.12.2021,"64,9582"
17.12.2021,"64,4595"
18.12.2021,"64,9058"
21.12.2021,"65,4377"
22.12.2021,"64,9915"
23.12.2021,"64,5554"
24.12.2021,"64,1833"
25.12.2021,"63,9788"
28.12.2021,"63,9170"
29.12.2021,"63,9902"
