Date,Price
01.01.2021,"26,0711"
12.01.2021,"26,3772"
13.01.2021,"26,4860"
14.01.2021,"26,2785"
15.01.2021,"26,3277"
16.01.2021,"26,2240"
19.01.2021,"26,2690"
20.01.2021,"26,1531"
21.01.2021,"26,0540"
22.01.2021,"25,9742"
23.01.2021,"26,4044"
26.01.2021,"26,5898"
27.01.2021,"26,8792"
28.01.2021,"26,6491"
29.01.2021,"27,0022"
30.01.2021,"27,0940"
02.02.2021,"26,8977"
03.02.2021,"27,0553"
04.02.2021,"27,1618"
05.02.2021,"27,1334"
06.02.2021,"27,0535"
09.02.2021,"26,8317"
10.02.2021,"26,8496"
11.02.2021,"26,6116"
12.02.2021,"26,4661"
13.02.2021,"26,5653"
16.02.2021,"26,1655"
17.02.2021,"26,3253"
18.02.2021,"26,4254"
19.02.2021,"26,4964"
20.02.2021,"26,5605"
21.02.2021,"26,5509"
25.02.2021,"26,4107"
26.02.2021,"26,2879"
27.02.2021,"26,6296"
02.03.2021,"26,4517"
03.03.2021,"26,6736"
04.03.2021,"26,3626"
05.03.2021,"26,5537"
06.03.2021,"26,8732"
10.03.2021,"26,7446"
11.03.2021,"26,7712"
12.03.2021,"26,4942"
13.03.2021,"26,5066"
16.03.2021,"26,4088"
17.03.2021,"26,4157"
18.03.2021,"26,4012"
19.03.2021,"26,6058"
20.03.2021,"26,7543"
23.03.2021,"26,9370"
24.03.2021,"27,2149"
25.03.2021,"27,3478"
26.03.2021,"27,2099"
27.03.2021,"27,0945"
30.03.2021,"27,1161"
31.03.2021,"27,1592"
01.04.2021,"27,1942"
02.04.2021,"27,2370"
03.04.2021,"27,2008"
06.04.2021,"27,4079"
07.04.2021,"27,4271"
08.04.2021,"27,8893"
09.04.2021,"27,5126"
10.04.2021,"27,6654"
13.04.2021,"27,7368"
14.04.2021,"27,5799"
15.04.2021,"27,0805"
16.04.2021,"27,5375"
17.04.2021,"27,0178"
20.04.2021,"27,2076"
21.04.2021,"27,1428"
